vtkOriginalIndices,vtkOriginalPointIds,Points:0,Points:1,Points:2,__vtkIsSelected__,velocity:0,velocity:1,velocity:2
265,26578,-0.028393,2.4315,-3.21436,0,4.81797,19.2904,-48.9728
266,37759,-0.0137506,2.54027,-3.06108,0,5.01133,21.7888,-56.723
267,17358,0.166591,1.41679,-1.86149,0,-3.36736,21.5918,-58.2881
268,23476,0.180976,1.61129,-1.81352,0,-1.24986,18.5321,-51.7618
269,22349,0.0938774,1.58684,-1.97068,0,-0.457078,17.5806,-50.124
270,24637,0.271919,1.50322,-1.82307,0,-1.58404,22.4074,-58.3049
271,17213,-0.886565,2.16912,-2.41743,0,2.34814,19.7701,-56.2125
272,29408,-0.865438,2.12424,-2.66769,0,2.52799,18.6213,-54.8185
273,25247,-0.836885,1.98512,-2.5834,0,1.87804,19.0353,-54.888
274,33447,-0.729491,2.14807,-2.56349,0,2.27302,19.5231,-54.6753
275,4806,0.121286,2.7637,-2.76631,0,0,0,0
276,20973,-0.044389,2.66532,-2.8393,0,5.11515,19.7162,-57.6892
277,4788,-0.046399,2.80346,-2.67851,0,0,0,0
278,42322,0.00110487,2.66099,-2.69527,0,3.81839,14.015,-44.0096
279,4398,0.459144,0.927861,-1.22699,0,0,0,0
280,4420,0.477849,1.00928,-1.38148,0,0,0,0
281,4421,0.546402,1.08897,-1.24251,0,0,0,0
282,19773,0.369338,1.16932,-1.30278,0,-1.1376,16.4476,-46.6782
283,35258,-0.386695,1.92405,-3.18372,0,3.82337,15.9044,-47.1564
284,16645,-0.357299,1.07133,-1.83633,0,-2.17035,19.7578,-53.6932
285,22196,-0.220505,1.15536,-1.75572,0,-2.67162,19.5791,-50.671
286,17038,-0.330511,1.26126,-1.89619,0,-1.97108,18.477,-49.6039
287,28932,-0.280702,1.13666,-1.93199,0,-1.34114,20.1438,-52.7817
288,43612,0.286507,1.82447,-1.99109,0,-0.758863,19.8085,-55.8988
289,34660,0.287503,1.70936,-2.09337,0,-0.549948,20.4047,-58.1307
290,45672,0.163456,1.70104,-1.95908,0,-0.228135,17.5836,-51.6317
291,4810,-0.806209,2.73174,-2.78781,0,0,0,0
292,26162,-0.854785,2.52444,-2.83836,0,1.97633,14.6033,-37.1282
293,4773,-0.910947,2.62484,-2.7234,0,0,0,0
294,29356,-0.713658,2.58284,-2.74174,0,2.81206,14.726,-46.7653
295,33464,-1.01217,2.10658,-2.35628,0,1.40177,12.8747,-39.3948
296,31903,-0.546781,2.17582,-4.17419,0,7.61884,17.7087,-51.1685
297,24618,-0.503443,2.29579,-4.0562,0,7.15678,15.0986,-45.07
298,41061,-0.516981,2.37508,-4.19391,0,9.51435,16.6774,-45.9423
299,4619,0.572646,1.68042,-2.04973,0,0,0,0
300,18634,0.402001,1.76717,-2.06664,0,-3.42606,16.6397,-55.3707
301,42930,0.458038,1.70405,-1.95954,0,0.0166421,13.7763,-44.103
302,4921,-0.227181,3.11782,-3.26368,0,0,0,0
303,16196,-0.215502,2.92158,-3.26653,0,9.2465,20.2584,-46.6459
304,4941,-0.0712424,3.10901,-3.30386,0,0,0,0
305,4476,-0.795105,0.998289,-1.88696,0,0,0,0
306,25048,-0.832547,1.21095,-1.80673,0,-0.172114,15.6874,-42.3721
307,23663,-0.742787,1.14831,-1.93612,0,2.38858,15.4095,-39.2153
308,39680,-0.715206,1.08542,-1.81735,0,-1.08173,16.4384,-40.9118
309,41332,-0.408781,2.80457,-3.8549,0,7.32886,17.5594,-46.3713
310,44777,-0.232154,2.7648,-3.79311,0,7.72411,17.6438,-45.8234
311,43860,-0.273899,2.6464,-3.84636,0,8.34897,16.4891,-44.2268
312,45912,-0.37401,2.70111,-3.78608,0,7.86037,16.9615,-45.0704
313,40885,-0.250153,1.98539,-2.53364,0,1.9731,17.5418,-50.9173
314,43834,0.0113391,2.04099,-4.30668,0,8.42772,18.9185,-56.2884
315,46589,0.097096,2.15452,-4.14501,0,8.54396,16.7186,-49.3437
316,23309,0.197425,2.43277,-2.76068,0,2.67159,19.3474,-59.731
317,42843,0.310608,2.38058,-2.701,0,2.31662,16.7265,-51.7664
318,17090,0.162859,2.3089,-2.62406,0,2.42929,20.2029,-59.5131
319,43805,0.238654,2.44981,-2.59386,0,1.18331,11.9828,-41.4748
320,19533,0.197637,2.53817,-3.56329,0,8.21137,20.7477,-52.8548
321,27258,0.096786,2.64988,-3.47873,0,7.58485,22.3991,-53.8101
322,15227,0.226541,2.73725,-3.55173,0,8.57569,22.8967,-55.2288
323,28185,0.228503,2.63018,-3.42387,0,8.30129,22.6864,-58.3137
324,20708,-0.631076,2.5141,-3.64818,0,6.27381,17.5498,-48.6288
325,27438,-0.580333,2.51065,-3.79507,0,7.70911,16.3301,-46.5919
326,25806,-0.556416,2.63528,-3.67193,0,6.48915,17.4028,-47.5978
327,32676,-0.617955,2.65299,-3.80117,0,8.29004,17.9862,-51.4343
328,23448,-0.924805,1.57958,-2.09416,0,0.648252,20.2748,-54.8339
329,23430,-0.729484,1.63087,-2.12844,0,0.436541,17.3758,-49.9225
330,26613,-0.859165,1.64495,-1.98937,0,-0.0267488,18.255,-53.2855
331,18373,-0.355041,1.95768,-3.99695,0,6.12996,18.4901,-53.4127
332,23148,-0.352421,2.07668,-4.12272,0,6.64976,18.1692,-49.8517
333,18290,-0.415664,2.1631,-3.98663,0,7.38916,15.6178,-44.7734
334,39557,-0.511241,2.10124,-4.06405,0,7.10589,18.0385,-51.6408
335,29988,-0.135674,2.72935,-3.52659,0,7.14921,20.6039,-49.7396
336,26871,-0.0417245,2.8879,-3.56547,0,8.50724,22.914,-54.0268
337,4487,-0.583318,2.38113,-1.32371,0,0,0,0
338,4507,-0.727203,2.30779,-1.33712,0,0,0,0
339,4470,-0.651223,2.29754,-1.18134,0,0,0,0
340,21653,-0.610279,2.21222,-1.3701,0,0.362458,17.2397,-43.8313
341,14063,-0.329484,1.63966,-2.27281,0,0.777388,17.6191,-49.8244
342,23506,-0.350468,1.65644,-2.46343,0,1.34242,16.5319,-47.7446
343,21896,-0.418925,1.53357,-2.36936,0,1.38514,16.4227,-47.5709
344,37625,-0.258659,1.53903,-2.33685,0,0.922392,17.0763,-48.8653
345,17239,-0.102112,2.42909,-2.25892,0,0.838469,19.6392,-56.32
346,14248,-0.0398377,1.9531,-1.28126,0,-2.18418,18.1245,-56.491
347,20938,0.0613525,1.86617,-1.16602,0,-2.59468,17.8827,-57.2135
348,38578,0.0174859,1.94801,-1.05992,0,-2.69528,17.317,-58.1189
349,4937,0.559067,2.63511,-3.40897,0,0,0,0
350,4938,0.497652,2.63539,-3.2476,0,0,0,0
351,4917,0.568796,2.49773,-3.27477,0,0,0,0
352,23142,0.440679,2.54,-3.36295,0,6.48708,14.7102,-39.9873
